rank,algorithm,map,paradigm,basemodel,time,url
1,vla_dataselectg,,singletasklearning,OpenVLA_Finetune,2025-09-26 17:04:23,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselectg/d9e91978-9afa-11f0-b861-b26da9992f88
2,vla_dataselectg,,singletasklearning,OpenVLA_Finetune,2025-09-26 17:06:47,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselectg/2f697e42-9afb-11f0-a185-b26da9992f88
3,vla_dataselectg,,singletasklearning,OpenVLA_Finetune,2025-09-26 17:08:17,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselectg/650d9196-9afb-11f0-be92-b26da9992f88
4,vla_dataselectg,,singletasklearning,OpenVLA_Finetune,2025-09-27 02:25:49,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselectg/487b3508-9b49-11f0-9219-b26da9992f88
5,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-27 02:27:41,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/8b1ec1cc-9b49-11f0-adf8-b26da9992f88
6,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-27 02:30:39,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/f4dd73ec-9b49-11f0-9679-b26da9992f88
7,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-27 07:14:20,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/88fd1696-9b71-11f0-8c4c-b26da9992f88
8,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-27 07:19:52,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/4f69894a-9b72-11f0-baa9-b26da9992f88
9,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-27 07:25:16,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/106c4fe2-9b73-11f0-8d34-b26da9992f88
10,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-27 09:38:03,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/9d3c14e0-9b85-11f0-9e9c-b26da9992f88
11,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-27 11:43:33,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/23d066f8-9b97-11f0-b140-b26da9992f88
12,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-27 12:05:59,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/d37249f4-9b98-11f0-b1cc-b26da9992f88
13,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-27 12:30:59,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/5119c1d6-9b9c-11f0-880e-b26da9992f88
14,vla_dataselect,,singletasklearning,OpenVLA_Finetune,2025-09-28 02:56:11,/inspire/hdd/global_user/chaimingxu-240108540141/jwq-test/ianvs/examples/cloud_VLA_finetune/workspace/benchmarkingjob/vla_dataselect/a33fb090-9c16-11f0-b852-b26da9992f88
